txn_id,customer,revenue,date,country
41344,Amy,abc,2026-10-10,france
298656,Christopher,237,2025-07-28,france
114242,Donald,-19,2025-07-27,Uk
298408,Megan,322,01-02-2024,USA
36848,Tamara,,01-02-2024,france
87417,Robert,,2024/13/40,
265091,Steven,-16,2025-05-16,UK
202341,Katherine,abc,2026-07-01,
131167,Laura,abc,2026-07-04,Germany
210088,Jeffery,18,2025-07-12,france
232679,Ann,411,2027-02-21,
257395,Veronica,192,2024/13/40,
14828,Terri,71,01-02-2024,USA
232041,Alex,-92,2025-12-29,India
294601,Justin,,2026-04-30,Germany
186475,Toni,abc,2024/13/40,Germany
164456,Erin,26,2026-06-21,India
7114,Katie,abc,01-02-2024,france
210891,Justin,,01-02-2024,india
89683,Travis,153,2026-05-10,Germany
207484,Kyle,-82,2025-11-18,India
90001,Matthew,141,2024/13/40,
45668,Kayla,12,2024/13/40,france
108515,Roger,-15,2025-12-17,India
255882,Jeremy,,01-02-2024,UK
261630,Ryan,458,2026-06-14,france
142872,Robert,-12,2025-08-22,Uk
82937,Jodi,,2025-09-03,Uk
81660,Tony,,2025-12-28,india
113089,Joseph,,2024/13/40,India
112497,Austin,,2025-05-16,india
193672,Brandon,172,2024/13/40,USA
96735,Sharon,477,2026-07-06,USA
266169,Victoria,,2025-09-27,france
53471,Melanie,379,2024/13/40,Germany
92064,Lisa,abc,2024/13/40,Germany
274408,Aaron,39,2026-04-16,france
213474,Christine,,01-02-2024,Germany
3741,Leslie,-14,2024/13/40,Uk
148488,Joshua,-26,01-02-2024,
239390,Jennifer,444,2024/13/40,Germany
57584,Amy,abc,2024/13/40,france
225256,Cindy,,2027-02-04,UK
21003,Eric,130,2024/13/40,USA
217062,James,96,2024/13/40,Uk
59081,Jason,abc,2025-05-22,Uk
13267,Anthony,317,2027-02-05,india
294663,Leslie,abc,01-02-2024,UK
270285,Andrew,abc,01-02-2024,
38694,Michelle,abc,2024/13/40,UK
276310,Connie,,2024/13/40,Germany
208344,Michelle,244,2026-06-25,india
23107,Brian,-1,2024/13/40,india
268259,Paul,abc,2024/13/40,UK
187865,Jessica,abc,01-02-2024,Germany
107995,April,-44,2026-04-10,Uk
235288,Andrew,abc,01-02-2024,
296551,Robert,407,01-02-2024,
170492,Sara,,2025-12-12,UK
215747,Heather,,2024/13/40,Uk
289620,Tyler,287,2024/13/40,
12099,Jack,abc,2024/13/40,UK
233425,Henry,81,2025-03-23,India
18081,Karen,133,2024/13/40,india
265577,Emily,,2025-07-15,India
108020,Ashley,,2025-08-27,Uk
263524,Jennifer,-71,2025-11-30,UK
212137,Jesus,abc,2024/13/40,
146587,Christopher,465,01-02-2024,india
228643,Sandra,315,2026-05-26,Germany
42351,Keith,abc,2024/13/40,
98802,Matthew,-93,01-02-2024,UK
203457,Samuel,58,01-02-2024,france
109477,Paige,-39,2024/13/40,Germany
289258,Andrew,,2026-04-21,Germany
211542,Kristin,,2024/13/40,USA
69148,Michelle,-46,01-02-2024,Germany
202546,Timothy,-29,2026-01-28,
194474,Adam,abc,01-02-2024,india
168892,Timothy,235,2024/13/40,India
199444,Joshua,288,2025-12-11,Uk
158375,Megan,-87,01-02-2024,Germany
19217,Alan,-100,2024/13/40,Germany
104058,Meghan,abc,2026-01-23,Germany
199970,Alec,-32,01-02-2024,USA
162583,Renee,-85,2024/13/40,france
242829,Heather,,2026-12-28,UK
298537,Katie,,2026-09-26,Germany
129287,Cynthia,92,2026-10-08,Germany
231175,Scott,,2024/13/40,India
285148,Heidi,272,2024/13/40
